title,company,location,date_posted,descriptions
Senior Software Engineer - Dotnet,LINK Development -,"Maadi, Cairo, Egypt",2 days ago,"Full Time
Hybrid
Experienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Angular
· .Net
· ASP.Net
· OOP
·
Software Development
·
Engineering
· Information Technology (IT)
· JavaScript"
Software Testing Engineer,DMS -,"Heliopolis, Cairo, Egypt",3 days ago,"Full Time
On-site
Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology
· Testing
· QC
· Quality Control
· Quality Assurance
· C#
· C+
· Web Development"
Software Testing Engineer,realme -,"Nasr City, Cairo, Egypt",4 days ago,"Full Time
On-site
Entry Level · 1 - 2 Yrs of Exp · males_only · IT/Software Development · Quality · Engineering - Telecom/Technology
· Communication
· Information Technology (IT)
·
Software Development
·
Software
·
Engineering
· Testing
· Electronics"
Software Engineering Manager,Nacita -,"Giza, Egypt",6 days ago,"Full Time
Hybrid
Manager · 7 - 15 Yrs of Exp · males_only · IT/Software Development
· DevOps
· Computer Science
· Information Technology (IT)
· Kubernetes
· NodeJS
·
Software
·
Software Development
·
Engineering
· computer"
Senior Software Engineer,eVision -,"New Cairo, Cairo, Egypt",6 days ago,"Full Time
Hybrid
Experienced · 3 - 6 Yrs of Exp · Banking · IT/Software Development
· APIs
· Docker
·
Engineering
· Information Technology (IT)
· Java
· RESTful
·
Software Development
· SQL"
Senior Software Quality Control Engineer,eVision -,"New Cairo, Cairo, Egypt",6 days ago,"Full Time
On-site
Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology
· Computer Science
· Information Systems
·
Software Testing
· Quality Control
· QC
· ISTQB
· Information Technology (IT)"
Senior Software Implementation Engineer,Trufla -,"Heliopolis, Cairo, Egypt",6 days ago,"Full Time
Hybrid
Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· business
· Cloud
· Computer Science
·
Engineering
· English
· Implementation
· Information Technology (IT)
· Linux"
Software Quality Assurance Engineer,Spark Systems -,"Sheikh Zayed, Giza, Egypt",2 days ago,"Full Time
On-site
Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Quality
· Agile
· Information Technology (IT)
· Quality Assurance
· Quality Control
·
Software
·
Software Testing
· Testing
· Computer Science"
Software Engineer,R.D.T Sports Equipment Trading EST -,"Alexandria, Egypt",2 days ago,"Full Time
On-site
Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· ERP
·
Software
·
Software Development
· Computer Science
·
Engineering
· CSS
· Information Technology (IT)
· Programming"
Software Engineer,Realty Webmaster -,"Shorouk City, Cairo, Egypt",6 days ago,"Full Time
On-site
Entry Level · 0 - 1 Yrs of Exp · IT/Software Development
· Information Technology (IT)
· Programming
· Computer Science"
Software Tester,Naqla -,"Nasr City, Cairo, Egypt",6 days ago,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
·
Software Engineering
· Testing
·
Software"
Software Product Manager,Techsa -,"New Cairo, Cairo, Egypt",6 days ago,"Full Time
Hybrid
Manager · 5 - 8 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology
· Computer Science
· Communication
·
Engineering
· Information Technology (IT)
· Marketing
· Product Management
· Project Management"
Software Technical Support Executive,Order King -,"Sheraton, Cairo, Egypt",6 days ago,"Full Time
On-site
Experienced · 1 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development
· Computer Science
· Customer Care
· Help desk
· Technical Support
· computer
·
Software
· POS#
·
Network Engineering"
Software Mobile Maintenance,Tradeline Stores -,"New Cairo, Cairo, Egypt",3 hours ago,"Full Time
On-site
Entry Level · 0 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· iOS
· computer
· Computer Science
·
Software Development
·
Software Engineering
· Information Technology (IT)"
Engineer,Confidential -,"Sheikh Zayed, Giza, Egypt",2 days ago,"Full Time
On-site
Entry Level · 1 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture
· Architecture
· Applied Arts
·
engineer
·
Architecture Engineering
· Computer Science
· Arts
·
Engineering
· Information Technology (IT)
·
Software Development"
Senior Infrastructure Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt",9 hours ago,"Full Time
On-site
Experienced · 6 - 8 Yrs of Exp · IT/Software Development
· CCNA
· Communication
· Communication skills
· Information Technology (IT)
· Infrastructure
· Networking
· computer
· Computer Science
·
Engineering"
Technical Office Engineer,Ri dec -,"Maadi, Cairo, Egypt",4 days ago,"Full Time
On-site
Experienced · 3 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture
· AutoCAD
· Com
· Computer Science
· Information Technology (IT)
· Microsoft Office
· Science
· Cisco
· Communication
· Linux"
Senior Production Engineer (Metal Manufacturing),Outservingplus -,"Giza, Egypt",3 days ago,"Full Time
On-site
Experienced · 4 - 7 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical
· Analysis
· Computer Science
·
Engineering
· Information Technology (IT)
· Management
· Manufacturing
· Mechanical
· Production"
Java Lead SW Engineer,Coral Technology -,"Nasr City, Cairo, Egypt",5 days ago,"Full Time
Remote
Experienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Java
· REST
· Spring
·
Software Development
·
Software
· Git
· Computer Science
· HTML5"
Mechanic Engineer / Diesel Mechanic,WinchGo -,"Cairo, Egypt",5 days ago,"Full Time
Remote
Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical ·
Engineering
· Hydraulic
· Maintenance
· Mechanical
·
Mechanical Engineering
·
Software
· technical
· Technical Support"
Senior Software Engineer,Queensoft -,"Sheraton, Cairo, Egypt",5 days ago,"Full Time
On-site
Experienced · 7 - 15 Yrs of Exp · IT/Software Development · Medical/Healthcare · Engineering - Telecom/Technology
· Information Technology (IT)
· Computer Science
· Java
· JavaScript
·
Software Development
· HL7 standard
· FHIR standard"
Devops Engineer,National Technology -,"Nasr City, Cairo, Egypt",5 days ago,"Full Time
Hybrid
Experienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology
· AWS
· Azure
· CI/CD
· Computer Science
· DevOps
· Docker
·
Engineering"
Senior Production Engineer,Outservingplus -,"Giza, Egypt",6 days ago,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· Computer Science
·
engineer
·
Engineering
· Analysis
· Information Technology (IT)
· Management
· Manufacturing"
Maintenance Engineer,Confidential -,"Sheikh Zayed, Giza, Egypt",5 days ago,"Full Time
On-site
Manager · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical ·
Engineering
· Maintenance
· Operations
· Repair
·
Software
· Leadership
· Microsoft Office
· Safety"
Senior Projects Sales Engineer,Terra Egypt -,"Cairo, Egypt",6 days ago,"Full Time
Hybrid
Experienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Sales/Retail
· Building Materials
· Outdoor Sales
·
Sales Engineering
· Lead Generation
· Negotiation
· Presentation Skills
· Project Management"
Software Quality Control Engineer Team Leader (Automation),Youxel -,"Maadi, Cairo, Egypt",6 days ago,"Full Time
Hybrid
Manager · 6+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology
· Automation
·
Quality control engineer
· Quality Assurance
·
software quality control
·
Software
· knowledge of SQL, mobile, API, web testing, and automation testing (using Selenium and Cucumber)
· e.g., Azure DevOps), performance, integration, and security testing"
Senior Frontend Engineer - React,Trufla -,"Heliopolis, Cairo, Egypt",6 days ago,"Full Time
Hybrid
Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical
· Agile
· Angular
· Architecture
· Computer Science
· Design
·
Engineering
· front-end"
Procurement Engineer,Reach Out for Trading -,"Agouza, Giza, Egypt",6 days ago,"Full Time
On-site
Experienced · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical ·
Engineering
· Sourcing
· Foreign Procurement
· Logistics
·
Software Development
· English
· Information Technology (IT)
· Computer Science
·
Software Engineering"
Technical Support / Application Support Engineer,eVision -,"New Cairo, Cairo, Egypt",5 days ago,"Full Time
On-site
Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· SQL
· Oracle
· Microsoft SQL
· Networking
· Application Security
·
Computer Engineering
· Technical Support"
Senior Full Stack Engineer,USYTech -,"Heliopolis, Cairo, Egypt",5 days ago,"Full Time
Hybrid
Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Computer Science
· Development
· Information Technology (IT)
·
Software Development
· Web Development
· JavaScript
· React
· Ruby"
